Authors,Author Full Names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Davidescu A.A.; Manta E.M.; Stoica-Ungureanu A.T.; Anton M.,"Davidescu, Adriana AnaMaria (57197533438); Manta, Eduard Mihai (57407243100); Stoica-Ungureanu, Adina Teodora (57997776000); Anton, Magdalena (57997776100)",57197533438; 57407243100; 57997776000; 57997776100,Could Religiosity and Religion Influence the Tax Morale of Individuals? An Empirical Analysis Based on Variable Selection Methods,2022,Mathematics,10,23,4497,,,,2,10.3390/math10234497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143603876&doi=10.3390%2fmath10234497&partnerID=40&md5=d0b08b6d9417d71ba47c0f42b59c7422,"Department of Statistics and Econometrics, The Bucharest University of Economic Studies, Bucharest, 010552, Romania; Department of Education, Training and Labour Market, National Scientific Research, Institute for Labour and Social Protection, Bucharest, 010643, Romania; Doctoral School of Cybernetics and Statistics, Bucharest University of Economic Studies, Bucharest, 010374, Romania","When people who adhere to tax morality act in a situation where there is no sense of risk, no acceptance of the government, or no environment conducive to tax compliance, it is easier to see how they are motivated to do so. Tax morality is also known as the ethics of compliance. It is the independent cause that motivates a positive tax behaviour. Employees’ religious beliefs may impact their ideas and actions in organizational life, just as individuals’ attitudes, values, emotions, abilities, and behaviours influence their thoughts and actions at work. Religion can positively influence a worker’s loyalty, morale, and communication. In this context, the research seeks to determine whether religiosity and religion may have an effect on tax morale, examining whether an individual’s religiosity reduces tax evasion and increases the degree of tax morale. Using machine learning variable selection techniques appropriate for categorical variables, we have used the dataset of the Joint EVS/WVS 2017-2020 (European Value Survey/World Value Survey), allowing for comparisons of tax morality in more than 79 nations globally (chi-squared and mutual information). The empirical findings showed that the most important aspects of religiosity, such as religious denomination, belief in God, and the significance of God, along with the degree of trust placed in other religions and churches, have a considerable positive impact on the level of tax morale. Another significant conclusion relates to how much people feel the government is responsible, how much they care about their nation, and how satisfied they are with the political system—findings that have been shown to boost employee morale. The following are a person’s primary traits that indicate their financial morale: an adult above the age of 25, a full-time worker or retired person, married, and living alone. Therefore, employees that are morally upright, trustworthy, diligent, and committed to the workplace values of justice and decency raise morale generally and improve an organisation’s success. A business may enhance its reputation and help to secure its long-term success by establishing behavioural policies. © 2022 by the authors.",Joint EVS/WVS 2017-2020; religion; religiosity; tax compliance; tax morale; variable selection method; work environment,,,MDPI,22277390,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85143603876
De Roux D.; Pérez B.; Moreno A.; Del Pilar Villamil M.; Figueroa C.,"De Roux, Daniel (57203388204); Pérez, Boris (44061764600); Moreno, Andrés (14069157800); Del Pilar Villamil, Maria (26632845100); Figueroa, César (57203395782)",57203388204; 44061764600; 14069157800; 26632845100; 57203395782,Tax fraud detection for under-reporting declarations using an unsupervised machine learning approach,2018,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,215,222,7,56,10.1145/3219819.3219878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051492335&doi=10.1145%2f3219819.3219878&partnerID=40&md5=1d7d5c62be13ee6ef8440fcab23aae86,"Universidad de los Andes, Bogotá, Colombia; Univ. Francisco de Paula Santander, Cúcuta, Colombia; Secretaría de Hacienda Distrital, Bogotá, Colombia","Tax fraud is the intentional act of lying on a tax return form with intent to lower one's tax liability. Under-reporting is one of the most common types of tax fraud, it consists in filling a tax return form with a lesser tax base. As a result of this act, fiscal revenues are reduced, undermining public investment. Detecting tax fraud is one of the main priorities of local tax authorities which are required to develop cost-efficient strategies to tackle this problem. Most of the recent works in tax fraud detection are based on supervised machine learning techniques that make use of labeled or audit-assisted data. Regrettably, auditing tax declarations is a slow and costly process, therefore access to labeled historical information is extremely limited. For this reason, the applicability of supervised machine learning techniques for tax fraud detection is severely hindered. Such limitations motivate the contribution of this work. We present a novel approach for the detection of potential fraudulent tax payers using only unsupervised learning techniques and allowing the future use of supervised learning techniques. We demonstrate the ability of our model to identify under-reporting taxpayers on real tax payment declarations, reducing the number of potential fraudulent tax payers to audit. The obtained results demonstrate that our model doesn't miss on marking declarations as suspicious and labels previously undetected tax declarations as suspicious, increasing the operational efficiency in the tax supervision process without needing historic labeled data. © 2018 Association for Computing Machinery.",Anomaly detection; Kernel density estimation; Spectral clustering; Tax fraud detection; Unsupervised machine learning,Artificial intelligence; Clustering algorithms; Crime; Data mining; Economics; Investments; Learning algorithms; Supervised learning; Anomaly detection; Fraud detection; Kernel Density Estimation; Spectral clustering; Unsupervised machine learning; Taxation,,Association for Computing Machinery,,978-145035552-0,,English,Conference paper,Final,,Scopus,2-s2.0-85051492335
de Sant’Anna Y.F.D.; Farias M.L.; Júnior M.C.; Dantas D.O.; Rodrigues Junior M.C.,"de Sant’Anna, Yúri Faro Dantas (57857598100); Farias, Mariana Lira de (58990657400); Júnior, Methanias Colaço (57196656218); Dantas, Daniel Oliveira (55902217200); Rodrigues Junior, Max Castor (58991213300)",57857598100; 58990657400; 57196656218; 55902217200; 58991213300,Fuel Classification in Electronic Tax Documents,2024,International Conference on Pattern Recognition Applications and Methods,1,,,337,343,6,0,10.5220/0012390900003654,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190660961&doi=10.5220%2f0012390900003654&partnerID=40&md5=4af68b01a5f47ab8eae5e6b0c4971757,"Centro de Informática, Universidade Federal de Pernambuco, PE, Recife, Brazil; Departamento de Computação, Universidade Federal de Sergipe, SE, São Cristóvão, Brazil; Centro Universitário Estácio de Sergipe, SE, Aracaju, Brazil","The Tax on the Circulation of Goods and Services (Imposto sobre Circulação de Mercadorias e Serviços, ICMS), a responsibility of the federative units, is the main Brazilian tax collection resource. One way to collect this tax is through a product’s weighted average price to the end consumer (preço médio ponderado ao consumidor final, PMPF) of a product. The PMPF is the only resource for charging state fees for the fuel segment, so if improperly calculated, it can lead to losses both in the collection of public funds and in the evolution of prices practiced by merchants. The objective of this work is to make a comparative analysis of classification algorithms used to calculate the PMPF of fuels in the state of Sergipe to select the most appropriate technique. This system circumvented deficiencies present in the previously applied simple random sampling methodology. The naive Bayes algorithm was considered the most effective approach due to its high accuracy and feasibility of application in a real-life scenario. © 2024 by SCITEPRESS – Science and Technology Publications, Lda.",Invoice; Naive Bayes; Supervised Learning; Text Classification,,Castrillon-Santana M.; De Marsico M.; Fred A.,"Science and Technology Publications, Lda",21844313,978-989758684-2,,English,Conference paper,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85190660961
Dhanya Abhirami S.; Govinda K.,"Dhanya Abhirami, S. (57209736571); Govinda, K. (36570310500)",57209736571; 36570310500,Sentiment analysis on goods and services tax bill,2019,Journal of Computational and Theoretical Nanoscience,16,05-Jun,,2237,2240,3,1,10.1166/jctn.2019.7879,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068551330&doi=10.1166%2fjctn.2019.7879&partnerID=40&md5=633ce4f5ef97d4b5393de1e5e0160b4d,"Vellore Institute of Technology, School of Computer Science and Engineering, Tamil Nadu, 632014, India","With the advancement in internet and web technology, and accessibility to electronic gadgets, the web has become widely accessible to a large user base. The internet is a massive pool of information and a platform for exchange of data. Social Networking sites are the frontrunners in enabling people share thoughts and opinions. The last decade has seen exponential rise in the number of active users of social media. This has led to abundance of open digital data with immense potential. It has opened new avenues in research of data analytics i.e., Sentiment Analysis. Sentiment Analysis is an amalgamation of machine learning and Natural Language Processing. It is used to extract, recognize and describe the view and opinion of the user on a particular topic. The sentiment can be positive or negative. Twitter is the most popular platform for social media analysis due to its well documented and free API's. This paper presents an evaluation of user sentiments on the Goods and Services Tax (GST) Bill. Copyright © 2019 American Scientific Publishers All rights reserved.",Features; Fuzzy; Markov; Textual; Visual,,,American Scientific Publishers,15461955,,,English,Article,Final,,Scopus,2-s2.0-85068551330
Di Marzo Serugendo G.; Cappelli M.A.; Falquet G.; Métral C.; Wade A.; Ghadfi S.; Cutting-Decelle A.-F.; Caselli A.; Cutting G.,"Di Marzo Serugendo, Giovanna (23008033900); Cappelli, Maria Assunta (58627076900); Falquet, Gilles (14832763800); Métral, Claudine (16316717200); Wade, Assane (57219570763); Ghadfi, Sami (56444521800); Cutting-Decelle, Anne-Françoise (6508358989); Caselli, Ashley (57219009454); Cutting, Graham (57392544300)",23008033900; 58627076900; 14832763800; 16316717200; 57219570763; 56444521800; 6508358989; 57219009454; 57392544300,Streamlining Tax and Administrative Document Management with AI-Powered Intelligent Document Management System,2024,Information (Switzerland),15,8,461,,,,1,10.3390/info15080461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202343133&doi=10.3390%2finfo15080461&partnerID=40&md5=102dfb6bee94012de39c018daaa4e4fc,"Centre Universitaire d’Informatique (CUI), Université de Genève, Geneva, 1205, Switzerland","Organisations heavily dependent on paper documents still spend a significant amount of time managing a large volume of documents. An intelligent document management system (DMS) is presented to automate the processing of tax and administrative documents. The proposed system fills a gap in the landscape of practical tools in the field of DMS and advances the state of the art. This system represents a complex process of integrated AI-powered technologies that creates an ontology, extracts information from documents, defines profiles, maps the extracted data in RDF format, and applies inference through a reasoning engine. The DMS was designed to help all those companies that manage their clients’ tax and administrative documents daily. Automation speeds up the management process so that companies can focus more on value-added services. The system was tested in a case study that focused on the preparation of tax returns. The results demonstrated the efficacy of the system in providing document management service. © 2024 by the authors.",administrative documents; AI; data mapping to RDF; document classification; document management system; information extraction; knowledge engineering; machine learning approach; reasoning engine; tax documents,Enterprise resource management; Information management; Knowledge engineering; Management information systems; Metadata; Natural language processing systems; Network security; Records management; Taxation; Administrative document; Data mapping to RDF; Data mappings; Document Classification; Document management; Document management systems; Information extraction; Machine learning approaches; Reasoning engine; Tax document; Inference engines,,Multidisciplinary Digital Publishing Institute (MDPI),20782489,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85202343133
Di Oliveira V.; Chaim R.M.; Weigang L.; Neto S.A.P.B.; Filho G.P.R.,"Di Oliveira, Vinicius (57205734116); Chaim, Ricardo Matos (55803663100); Weigang, Li (52163887600); Neto, Sergio Augusto Para Bittencourt (57485430800); Filho, Geraldo Pereira Rocha (55990312500)",57205734116; 55803663100; 52163887600; 57485430800; 55990312500,Towards a Smart Identification of Tax Default Risk with Machine Learning,2021,"International Conference on Web Information Systems and Technologies, WEBIST - Proceedings",2021-October,,,422,429,7,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146199081&partnerID=40&md5=163035ab1f819ca19116ef5b7dfe188e,"University of Brasilia, Federal District, Brazil; Secretary of Economy, Federal District, Brasilia, Brazil","The failure to perceive non-payment of the tax due is the main risk of tax inspection. The complex tax legislation and the volume of information available must be overcome for facing tax evasion. There is a gap in studies investigating the analysis of tax default risk and Machine Learning algorithms. This study proposes the use of ML algorithms ordinarily used on credit risk analysis as a risk analysis tool for tax default. The tax data preparation issue was faced by discretizing qualitative and quantitative variables. This work presents a new approach for the classification of companies regarding tax avoidance using Machine Learning. The developed ANN model achieved an AUC = 0.9568 in the classification task. The study gathers more than 300 thousand companies in the city of Brasilia - Brazil, analyzing their socioeconomic and financial characteristics. © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",Data Preparation; Machine Learning; Risk Identification; Tax Default,Learning algorithms; Machine learning; Risk analysis; Risk assessment; Credit risk analysis; Data preparation; Default risk; Machine learning algorithms; Machine-learning; Risk analysis tools; Risk Identification; Tax default; Tax evasions; Tax legislation; Taxation,Mayo F.D.; Marchiori M.; Filipe J.,"Science and Technology Publications, Lda",21843252,978-989758536-4,,English,Conference paper,Final,,Scopus,2-s2.0-85146199081
Didimo W.; Grilli L.; Liotta G.; Menconi L.; Montecchiani F.; Pagliuca D.,"Didimo, Walter (6602576706); Grilli, Luca (54970792000); Liotta, Giuseppe (16203147400); Menconi, Lorenzo (55772103800); Montecchiani, Fabrizio (37119376400); Pagliuca, Daniele (57201472428)",6602576706; 54970792000; 16203147400; 55772103800; 37119376400; 57201472428,Combining Network Visualization and Data Mining for Tax Risk assessment,2020,IEEE Access,8,,8963712,16073,16086,13,35,10.1109/aCCESS.2020.2967974,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079772213&doi=10.1109%2faCCESS.2020.2967974&partnerID=40&md5=6b6b7e0b45fe26dc4326734c08576e89,"Dipartimento di Ingegneria, Universita Degli Studi di Perugia, Perugia, 06125, Italy; agenzia Delle Entrate, Roma, 00147, Italy","This paper presents a novel approach, called MaLDIVE, to support tax administrations in the tax risk assessment for discovering tax evasion and tax avoidance. MaLDIVE relies on a network model describing several kinds of relationships among taxpayers. Our approach suitably combines various data mining and visual analytics methods to support public officers in identifying risky taxpayers. MaLDIVE consists of a 4-step pipeline: ( {i} ) a social network is built from the taxpayers data and several features of this network are extracted by computing both classical social network indexes and domain-specific indexes; (ii) an initial set of risky taxpayers is identified by applying machine learning algorithms; (iii) the set of risky taxpayers is possibly enlarged by means of an information diffusion strategy and the output is shown to the analyst through a network visualization system; (iv) a visual inspection of the network is performed by the analyst in order to validate and refine the set of risky taxpayers. We discuss the effectiveness of the MaLDIVE approach through both quantitative analyses and case studies performed on real data in collaboration with the Italian Revenue agency. © 2013 IEEE.",data mining; human-computer interaction; network visualization; tax evasion discovery; Tax risk assessment,Data visualization; Human computer interaction; Learning algorithms; Machine learning; Risk assessment; Social networking (online); Social sciences computing; Taxation; Visualization; Domain specific; Information diffusion; Network modeling; Network visualization; Public officers; Tax evasions; Visual analytics; Visual inspection; Data mining,,Institute of Electrical and Electronics Engineers Inc.,21693536,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85079772213
Didimo W.; Grilli L.; Liotta G.; Montecchiani F.,"Didimo, Walter (6602576706); Grilli, Luca (54970792000); Liotta, Giuseppe (16203147400); Montecchiani, Fabrizio (37119376400)",6602576706; 54970792000; 16203147400; 37119376400,Efficient and trustworthy decision making through human-in-the-loop visual analytics: A case study on tax risk assessment,2022,Rivista Italiana di Informatica e Diritto,2022,2,,15,21,6,0,10.32091/RIID0092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173646884&doi=10.32091%2fRIID0092&partnerID=40&md5=ba90aceb2fd03fdc38d0db20bea12606,"Department of Engineering, University of Perugia, Italy","Data mining and AI techniques are increasingly being used to automate data analysis. Ideally, one may wish to completely automate the data analysis process, but in many real-world applications a full automation may pose significant risks. In these cases, human analysts must be directly involved to refine the analysis or to make the final decisions. A challenging problem, therefore, is how to perform efficient and trustworthy decision-making when humans are an integral part of the analysis pipeline. We propose a “human-in-the-loop” methodology that leverages data mining, machine learning, and visual analytics to improve and speed up the analysis. A key feature is the use of a dashboard that integrates intuitive visual tools, which aid analysts to efficiently discover hidden data patterns or to get helpful insights. We describe in particular how this methodology has been successfully applied to support Revenue Agency officers in tax risk assessment. © 2022, Consiglio Nazionale delle Ricerche. All rights reserved.",Data mining; Human-in-the-loop; Tax risk assessment; Visual analytics,,,Consiglio Nazionale delle Ricerche,27047318,,,English,Article,Final,,Scopus,2-s2.0-85173646884
Dikshit P.; Chandra B.,"Dikshit, Pankaj (57446152900); Chandra, B. (59038094000)",57446152900; 59038094000,Evaluating Sentiments in Social Media Comments on Tax Transformation in India using Deep Learning,2021,"Proceedings - 20th IEEE International Conference on Machine Learning and Applications, ICMLA 2021",,,,1779,1782,3,0,10.1109/ICMLA52953.2021.00283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125873031&doi=10.1109%2fICMLA52953.2021.00283&partnerID=40&md5=9bae9c649241bef7e4cf4af556c5ef4b,"Indian Institute of Technology, School of IT, New Delhi, Delhi, India","The Goods and Services Tax (GST) was implemented by the government of India to have one tax for the entire country. Millions of taxpayers commented on their experience of the GST e-governance system on the Twitter platform, which was collated for the study from June 2017 to May 2020. This paper proposes a comprehensive approach for finding the variation of attention weights for key words (related to broad categories belonging to GST) present in the tweets over different quarters of the three-year period along with month-wise sentiment prediction for every quarter using Bi-directional LSTM model with attention. The contribution of key words, whose attention weights exceed two sigma thresholds, towards the net positive and negative sentiments of tweets is found to be significant in the study. © 2021 IEEE.",Attention weights; Bi-directional LSTM; Deep Learning; GST; Two sigma limits,e-government; Long short-term memory; Social networking (online); Attention weight; Bi-directional; Bi-directional LSTM; Deep learning; Good and service tax; Good and services; Government of India; Key words; Social media; Two sigma limit; Taxation,Wani M.A.; Sethi I.K.; Shi W.; Qu G.; Raicu D.S.; Jin R.,Institute of Electrical and Electronics Engineers Inc.,,978-166544337-1,,English,Conference paper,Final,,Scopus,2-s2.0-85125873031
DIkshit P.; Chandra B.,"DIkshit, Pankaj (57446152900); Chandra, B. (59038094000)",57446152900; 59038094000,Assessing the significance of co-occurring terms in Goods and Services Tax in India using co-occurrence graphs and Attention based Deep Learning Models,2021,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",,,,1882,1887,5,0,10.1109/SMC52423.2021.9658941,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124326458&doi=10.1109%2fSMC52423.2021.9658941&partnerID=40&md5=b9f9021b96273dae9eb08f7e5b36e8d2,"Indian Institute of Technology, Delhi, School of IT, New Delhi, India","Implementation of Goods and Services Tax (GST) in India in 2017 resulted in major tax reforms and the tax paying users tweeted their experience of the new system commenting on different aspects. Tweets of users commenting on the GST information system were extracted for the period June 2017 to May 2020 using pre-identified key terms. The paper presents a unique approach of combining co-occurrence graphs and Attention based deep learning technique for analyzing the importance of co-occurring terms in the tweets by taxpayers. Co-occurrence graphs between the terms in the tweets helped in identifying important terms related to GST, based on the frequency of their connections with the key terms. In order to assess how much the pair of key terms and the adjoining important term contribute, attention weights were found for this pair using Attention based bi-directional LSTM (Long Short Term Memory) model. A measure called ""Attention factor""has been introduced to find the relevance of the pair in the tweets which will help in making improvements in the GST system.  © 2021 IEEE.",Attention factor; attention weights; Bi-Directional LSTM model; Co-occurrence graph,Long short-term memory; Attention factor; Attention weight; Bi-directional; Bi-directional long short term memory model; Co-occurrence Graph; Good and services; Learning models; Learning techniques; Memory modeling; Tax reform; Taxation,,Institute of Electrical and Electronics Engineers Inc.,1062922X,978-166544207-7,PICYE,English,Conference paper,Final,,Scopus,2-s2.0-85124326458
Ding N.; Zhang X.; Zhai Y.; Li C.,"Ding, Ning (57188846463); Zhang, Xinnan (57222376278); Zhai, Yiming (57205267137); Li, Chenglong (57209830296)",57188846463; 57222376278; 57205267137; 57209830296,Risk assessment of VAT invoice crime levels of companies based on DFPSVM: a case study in China,2021,Risk Management,23,01-Feb,,75,96,21,5,10.1057/s41283-021-00068-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102510378&doi=10.1057%2fs41283-021-00068-5&partnerID=40&md5=e178c07b478f849b1973c98fc2b6c9ba,"Public security behavioral science lab, People’s Public Security University of China, No. 1, Muxidi Nanli, Xicheng District, Beijing Municipality, Beijing, China","In recent years, with the implementation of the policy of “Replacing Business Tax with Value-Added Tax” and “Streamlining Administration, Delegating Powers and Improving Regulation and Services” in China, criminals have been issuing false invoices, and such cases have shown a trend of high frequency in the category of economic crimes. Tax departments and public security departments are facing increasingly a serious crime situation that has created a new challenge. By studying the current trend of false invoice crime, the difficulties of investigation in such cases are analyzed. Using the tax information of enterprises that have conducted false invoice as the breakthrough point, the machine learning method is introduced to build a risk pre-warning assessment model based on the Support Vector Machine (SVM) method to detect enterprises issuing false invoices. Three steps were designed in this paper. First, a risk pre-warning assessment model was established to detect enterprises issuing false invoices. Second, enterprises were classified into three groups according to the risk levels: A, B, and C. Third, collected data were used to make an empirical analysis, and the results show that the accuracy rate of the model is 97%. In China, due to the high crime rate of tax fraud cases, it is important to obtain data from tax and public security departments to establish a model that can detect such crimes as early as possible. The police and tax authorities can use this model to jointly combat such crimes. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.",Crime risk assessment; Risk early warning model; VAT invoice crime,,,Palgrave Macmillan,14603799,,,English,Article,Final,,Scopus,2-s2.0-85102510378
Dragicevic A.Z.; Pereau J.-C.,"Dragicevic, Arnaud Z. (55881117800); Pereau, Jean-Christophe (6506829987)",55881117800; 6506829987,Comparing climate pledges and eco-taxation in a networked agricultural supply chain organisation,2024,European Review of Agricultural Economics,51,2,,354,398,44,3,10.1093/erae/jbae001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195645617&doi=10.1093%2ferae%2fjbae001&partnerID=40&md5=8b1f827772970dba25868374f0785a15,"Cirano - Centre Interuniversitaire De Recherche En Analyse Des Organisations, Montreal, QC, Canada; Faculty Of Economics, Chulalongkorn University, Pathumwan, Bangkok, Thailand; Bse - Bordeaux School Of Economics, University Of Bordeaux, Cnrs, Inrae, Pessac, France","This paper examines the effectiveness of climate pledges and eco-taxation as strategies for mitigating climate change within a networked agricultural supply chain organisation. We utilise variational inequality techniques within a multicriteria decision-making framework and validate our theoretical findings through numerical simulations using a machine learning augmented algorithm. By employing this approach, we position the Agricultural Sector Roadmap, aimed at capping global warming at 1.5°C, within the wider agricultural sector's climate action framework. Our results demonstrate that environmental taxation emerges as the most effective approach for addressing climate change. Eco-taxation leads to a 57.87 per cent reduction in global emissions, whereas climate pledges only account for a 20.59 per cent reduction at the same level of production. Furthermore, eco-taxation results in a 45.68 per cent greater reduction in emission intensity compared to climate pledges. In contrast to climate commitments, an eco-fiscal policy is capable of achieving the objectives established by the European Union.  © 2024 The Author(s). Published by Oxford University Press on behalf of the Foundation for the European Review of Agricultural Economics. All rights reserved.",agricultural economics; climate pledge; cooperatives; eco-taxation; GHG emissions; network economics; supply chain; variational inequality,agricultural economics; agricultural technology; climate change; comparative study; cooperative sector; decision making; greenhouse gas; multicriteria analysis; supply chain management; tax system,,Oxford University Press,1651587,,,English,Article,Final,,Scopus,2-s2.0-85195645617
Durán-Vaca M.K.; Ballesteros-Ricaurte J.A.,"Durán-Vaca, Mónica Katherine (57222136139); Ballesteros-Ricaurte, Javier Antonio (56161725900)",57222136139; 56161725900,Sentiment Analysis on Twitter to Measure the Perception of Taxation in Colombia,2020,Learning and Analytics in Intelligent Systems,7,,,184,193,9,3,10.1007/978-3-030-36778-7_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123617152&doi=10.1007%2f978-3-030-36778-7_20&partnerID=40&md5=d91e7f11f2448da0592fa14f69df46fb,"Escuela de Ingeniería de Sistemas y Computación, Universidad Pedagógica y Tecnológica de Colombia - Uptc, Tunja, Colombia","Twitter is a social microblogging tool in which users can publish textual content up to 280 characters. Since its birth in 2006, Twitter has become one of the most widely used platforms for sharing current content, such as news or events in real-time, which also allows you to briefly and concisely comment on virtually any topic. This research presents the analysis of public opinion feelings about taxes on digital platforms to support the decision making of the National Taxes and Customs Office (DIAN), and the Ministry of Finance, for which an extraction and compilation of tweet data is developed, a preprocessing of information in order to obtain a corpus in Spanish that can be classified into positive, negative and neutral categories; then learning algorithms are tested, which allow training models to subsequently classify new collected tweets. © 2020, Springer Nature Switzerland AG.",Sentiment analysis; Supervised learning; Text mining; Twitter,Classification (of information); Decision making; Learning algorithms; Social aspects; Social networking (online); Supervised learning; Taxation; Colombia; Digital platforms; Microblogging; Public opinions; Real- time; Sentiment analysis; Sharing current; Text-mining; Textual content; Twitter; Sentiment analysis,,Springer Nature,26623447,,,English,Conference paper,Final,,Scopus,2-s2.0-85123617152
Dwarakanath K.; Dong J.; Vyetrenko S.,"Dwarakanath, Kshama (57215969575); Dong, Jialin (59030334800); Vyetrenko, Svitlana (35148678500)",57215969575; 59030334800; 35148678500,Tax Credits and Household Behavior: The Roles of Myopic Decision-Making and Liquidity in a Simulated Economy,2024,ICAIF 2024 - 5th ACM International Conference on AI in Finance,,,,168,176,8,0,10.1145/3677052.3698599,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214892360&doi=10.1145%2f3677052.3698599&partnerID=40&md5=edb3e367de69ac67bf642253ad1af5ad,"Ai Research, Jp Morgan Chase, United States; University of California, Los Angeles, United States","There has been a growing interest in multi-agent simulators in the domain of economic modeling. However, contemporary research often involves developing reinforcement learning (RL) based models that focus solely on a single type of agents, such as households, firms, or the government. Such an approach overlooks the adaptation of interacting agents thereby failing to capture the complexity of real-world economic systems. In this work, we consider a multi-agent simulator comprised of RL agents of numerous types, including heterogeneous households, firm, central bank and government. In particular, we focus on the crucial role of the government in distributing tax credits to households. We conduct two broad categories of comprehensive experiments dealing with the impact of tax credits on 1) households with varied degrees of myopia (short-sightedness in spending and saving decisions), and 2) households with diverse liquidity profiles. The first category of experiments examines the impact of the frequency of tax credits (e.g. annual vs quarterly) on consumption patterns of myopic households. The second category of experiments focuses on the impact of varying tax credit distribution strategies on households with differing liquidities. We validate our simulation model by reproducing trends observed in real households upon receipt of unforeseen, uniform tax credits, as documented in a JPMorgan Chase report. Based on the results of the latter, we propose an innovative tax credit distribution strategy for the government to reduce inequality among households. We demonstrate the efficacy of this strategy in improving social welfare in our simulation results.  © 2024 ACM.",,Decision making; Digital elevation model; Intelligent agents; Reinforcement learning; Taxation; Decisions makings; Distribution strategies; Economic models; Household behavior; Interacting agents; Learning Based Models; Multi agent; Real-world; Reinforcement learnings; Tax credits; Multi agent systems,,"Association for Computing Machinery, Inc",,979-840071081-0,,English,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85214892360
Ebrahimzadeh A.; Garkaz M.; Khozein A.; Maetoofi A.,"Ebrahimzadeh, Amir (57210928318); Garkaz, Mansour (37101245200); Khozein, Ali (35069873800); Maetoofi, Alireza (57391187400)",57210928318; 37101245200; 35069873800; 57391187400,A NOVEL MACHINE LEARNING-BASED APPROACH FOR IDENTIFICATION OF UNREALISTIC TAX RETURNS BY EEG SIGNAL PROCESSING,2022,"Biomedical Engineering - Applications, Basis and Communications",34,3,2250007,,,,1,10.4015/S1016237222500077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121982941&doi=10.4015%2fS1016237222500077&partnerID=40&md5=967f2125ddaf944a151969dcd7825a76,"Gorgan Branch, Islamic Azad University, Gorgan, Iran; Aliabad Katoul Branch, Islamic Azad University, Aliabad Katoul, Iran","For many years, the uncertainty of lie-detection systems has been one of the concerns of tax organizations. Clearly, the results of these systems must be generalized by a high value of accuracy to be acceptable by related systems to identify tax fraud. In this paper, a new method based on P300-based component has been proposed for detection of tax fraud. To this end, the test protocol is designed based on Odd-ball paradigm concealed information recognition. This test was done on 40 people and their brain signals were acquired. After prepossessing, the classic features are extracted from each single trial. After that, time-frequency (TF) transformation is applied on the sweeps and TF features are produced thereupon. Then, the best combinational feature vector is selected in order to improve classifier accuracy. Finally, guilty and innocent persons are classified by K-nearest neighbor (KNN) and multilayer perceptron (MLP) classifiers. We found that combination of time-frequency and classic features has better ability to achieve higher amount of accuracy to identify the unrealistic tax returns. The obtained results show that the proposed method can detect deception by the accuracy of 91% which is better than other previously reported methods. This study, for the first time, succeeded in presenting a novel method for identifying unrealistic tax returns through EEG signal processing, which has significantly improved the yield of this study compared to the previous literature. © 2022 National Taiwan University.",Electroencephalography; Lie-detection; Odd-ball paradigm; P300 component; Tax fraud; Unrealistic tax returns,Crime; Electrophysiology; Machine learning; Nearest neighbor search; Taxation; Detection system; Learning-based approach; Lie detection; Machine-learning; Odd-ball paradigm; P300 component; Tax fraud; Tax returns; Uncertainty; Unrealistic tax return; adult; article; classifier; deception; electroencephalogram; electroencephalography; fraud; human; k nearest neighbor; lie detection; multilayer perceptron; signal processing; Electroencephalography,,World Scientific,10162372,,YIGOE,English,Article,Final,,Scopus,2-s2.0-85121982941
